Domain Name,Record Name,Record Type,Record Value
bigmeet.in,_1356645aea517a1ef2be7f90c3def65f.bigmeet.in.,CNAME,_f72c832aaf0e6d432b264734d84e15c9.auiqqraehs.acm-validations.aws.
*.bigmeet.in,_1356645aea517a1ef2be7f90c3def65f.bigmeet.in.,CNAME,_f72c832aaf0e6d432b264734d84e15c9.auiqqraehs.acm-validations.aws.
